lines,volatility,hitrate,theme,rating
50,1,4,sequence,8
243,3,3,magic,9
117649,4,4,sequence,7
10,3,2,casual,10
20,1,5,casual,5
117649,2,4,casual,5
40,1,5,asian,4
243,2,5,sequence,8
117649,1,2,casual,6
10,3,4,casual,9
20,2,2,casual,3
40,3,1,asian,6
117649,2,2,sequence,9
20,4,5,asian,1
117649,2,5,magic,7
20,3,3,sequence,6
117649,1,5,casual,4
10,2,5,sequence,4
30,4,4,sequence,5
40,5,5,asian,6
20,3,4,sequence,4
10,1,2,casual,6
117649,3,3,casual,3
20,2,4,asian,9
10,5,1,asian,2
243,1,5,asian,6
30,1,3,asian,5
243,3,4,sequence,9
40,1,5,sequence,5
20,5,5,casual,4
30,5,4,sequence,9
243,2,3,asian,10
117649,1,2,asian,6
50,3,1,sequence,6
30,1,4,magic,4
20,4,3,casual,6
20,3,2,asian,6
243,1,2,sequence,2
10,3,5,casual,5
20,3,4,casual,9
10,1,2,casual,2
20,5,3,asian,10
40,1,3,casual,5
20,3,3,asian,1
10,1,5,casual,8
10,2,5,sequence,9
117649,3,4,casual,2
243,2,3,casual,4
30,1,5,sequence,6
243,4,3,casual,6
10,2,4,casual,7
10,5,5,magic,3
20,1,4,casual,6
117649,1,5,sequence,7
30,4,4,casual,3
30,2,3,sequence,2
10,1,4,casual,4
10,1,1,casual,8
117649,3,2,casual,5
10,3,3,magic,4
20,1,3,casual,8
243,1,5,asian,6
243,1,1,magic,7
10,2,2,asian,7
30,2,5,sequence,7
10,1,4,sequence,3
30,2,3,sequence,7
10,2,1,sequence,4
50,3,1,casual,8
20,3,5,casual,5
30,4,1,casual,9
243,5,5,asian,8
30,3,3,casual,5
20,2,2,casual,8
10,1,2,casual,6
10,2,4,casual,6
50,2,3,sequence,10
20,2,3,casual,5
20,1,5,casual,3
10,2,2,magic,5
30,2,4,casual,8
117649,5,1,sequence,8
40,3,3,casual,2
20,2,4,sequence,10
243,2,1,sequence,4
243,4,2,casual,2
243,5,3,casual,7
30,2,4,casual,4
20,2,5,casual,2
30,3,4,magic,7
50,2,3,magic,6
30,3,5,magic,9
243,3,5,casual,8
10,2,4,sequence,4
30,3,4,casual,6
10,5,5,casual,8
243,2,4,sequence,9
117649,2,4,asian,6
117649,1,4,sequence,8
243,1,4,asian,9
10,2,5,asian,6
10,3,4,sequence,3
243,1,3,sequence,4
20,1,4,casual,6
40,2,1,sequence,8
40,5,4,casual,7
117649,2,4,sequence,3
243,3,3,magic,7
243,3,5,sequence,3
10,2,5,sequence,3
50,1,1,magic,7
243,3,2,casual,5
40,4,2,sequence,8
20,2,5,sequence,8
30,3,1,asian,2
117649,2,5,casual,7
243,5,2,asian,9
20,5,4,asian,7
117649,4,5,casual,7
10,3,2,casual,7
117649,1,4,sequence,7
40,3,5,asian,6
20,1,5,casual,8
10,2,5,magic,6
117649,3,5,sequence,3
20,2,5,sequence,9
117649,1,1,sequence,3
243,1,5,casual,6
10,1,5,casual,4
243,5,5,sequence,4
40,1,5,sequence,8
50,2,3,casual,1
243,1,4,casual,8
10,2,4,asian,7
117649,2,5,sequence,5
50,1,4,casual,8
10,2,1,casual,5
20,5,3,asian,4
20,1,4,sequence,7
20,2,5,asian,3
243,5,2,asian,5
117649,3,4,casual,5
10,1,3,sequence,7
10,2,5,casual,6
30,4,5,casual,5
30,3,5,casual,2
20,4,3,sequence,7
40,5,3,sequence,9
117649,1,4,casual,6
243,2,5,sequence,6
10,1,5,asian,5
20,1,2,magic,5
117649,2,5,casual,9
30,1,1,casual,4
117649,2,5,sequence,6
20,4,3,casual,10
50,1,3,asian,6
40,2,4,asian,9
243,1,2,asian,6
30,3,3,casual,7
117649,1,4,casual,8
20,5,4,casual,5
10,3,5,casual,7
40,3,3,magic,5
