commute,workout,sleep,study,socialize,evaluation
0,0,7.714280374803693,2.839367577090286,3.44635204810602,2.6
0,0,7.863415885532646,3.125464956437097,3.0111191580302563,2.7
1,2,6.216548084389264,1.92212284420306,2.8613290714076753,2.4
1,0,7.2987150209394756,3.797027240663262,1.9042577383972612,1.7
0,2,5.7052641237208634,3.552648839052306,2.742087037226831,3.4
0,0,7.485560322514748,3.7473548858804615,2.767084791604792,2.7
1,1,5.776047414966976,1.7265610362885144,4.49739154874451,1.7
1,0,9.0,0.7306451535295306,3.2363908676000777,1.8
0,0,7.4627395989271434,0.06215462012306857,5.0,2.5
0,0,7.611446061113478,2.399126903218417,3.9894270356681054,2.5
1,1,5.051219941728079,0.9835763278008843,5.0,1.6
1,1,8.867756770342138,0.12852037177481085,3.0037228578830515,2.3
1,2,6.821903338256433,0.22621229896394987,3.9518843627796167,2.4
0,2,5.662817182050412,3.801078059652019,2.536104758297568,3.4
1,2,6.824765182229315,3.8511785126756584,0.32405630509502725,2.8
0,2,5.339943673506997,0.7637797984930456,5.0,3.1
0,1,9.0,0.6453281587715533,1.844872394455699,3.4
0,0,9.0,4.642322670830017,0.30177169060730574,3.1
0,1,7.152794575046141,1.6601922246839014,4.187013200269958,2.9
0,2,5.771424058366708,2.5442113309535697,3.684364610679724,3.3
0,2,4.979086748104982,3.44114944447136,3.579763807423658,3.3
1,2,8.429844641257477,1.2719764472941502,1.2981789114483746,2.8
1,0,6.485264963062599,1.5848087221522282,4.929926314785173,1.3
0,2,7.569917156176124,4.042349502432813,0.3877333413910636,3.9
1,2,4.872334314198608,4.9132804044754455,1.2143852813259461,2.4
0,0,5.081155431204343,3.292717919260248,5.0,2.2
0,1,7.3137700256659635,1.6455888475293976,4.040641126804638,2.9
1,1,7.392683949206319,3.2430764609264107,1.3642395898672712,2.3
0,2,7.76492077210006,3.3792480622796104,0.8558311656203291,3.8
1,2,4.683211460978664,2.009371675410753,4.307416863610582,2.0
1,2,6.104750399973205,2.641564596492482,2.2536850035343123,2.4
0,2,8.221645614835927,2.5293206316626446,1.2490337535014304,3.8
1,1,6.012220772385973,4.083738640646416,1.904040586967611,2.0
0,1,6.38084982770286,2.807743371541232,3.811406800755909,2.9
0,2,7.136119722724681,2.725517848175825,2.1383624290994936,3.6
0,0,7.16625780070845,3.814221077357624,3.0195211219339257,2.6
0,0,5.696177268929913,1.3774680451440493,5.0,2.2
1,2,5.744699399739161,1.4293923888072781,3.8259082114535614,2.2
1,2,6.930305417505216,0.49894201215829503,3.5707525703364897,2.5
1,2,7.796645694660687,0.7364681335637238,2.4668861717755894,2.6
1,0,9.0,2.686956862399772,0.6127332582992738,2.0
1,0,6.94314749405908,0.41349878263880185,5.0,1.4
0,2,3.684282526992223,3.7657024818421756,4.550014991165603,3.0
0,0,6.6479731734406995,4.30505239693579,3.0469744296235097,2.5
0,2,9.0,0.7114119878277906,0.7974674464846819,3.9
1,1,8.495159241665084,1.8120019622757881,1.6928387960591273,2.3
0,0,4.888064135901631,4.757190472215365,4.354745391883004,2.2
0,1,7.333024115631747,1.2983949557836842,4.368580928584567,3.0
0,0,7.415637477888943,4.901500777107576,1.682861745003478,2.8
1,2,5.891325168094885,3.4998049283429746,1.6088699035621408,2.5
1,2,5.537963964460224,3.7751694148350645,1.6868666207047116,2.5
0,2,7.766957259793392,3.2775555721959044,0.9554871680107033,3.8
1,0,5.488016220837731,5.0,0.9803793928504848,1.5
0,0,9.0,0.9904751572956086,1.9672619445861415,2.9
0,0,5.4650669728532,2.8448345525990266,5.0,2.2
1,1,9.0,2.3489450933046867,0.6149561125047824,2.5
0,1,5.2730247642586665,5.0,2.715646152512819,2.8
1,2,3.984070322115777,3.0224847941778203,3.993444883706403,1.9
1,2,4.642491403940448,1.374970274098053,4.982538321961501,2.0
0,0,5.9447542551059085,5.0,1.4386735754722404,2.5
0,2,7.572906127387838,3.9678660377226476,0.4592278348895156,3.9
1,2,5.6299009815841785,3.320135969771594,2.0499630486442264,2.5
0,1,5.28558054681097,4.218943310245068,3.4954761429439607,2.8
0,2,4.138032300445571,2.937101901582086,4.924865797972343,3.0
1,0,7.196054924579592,4.573457476348439,1.2304875990719688,1.7
0,2,7.973988115707868,2.548001236353886,1.4780106479382455,3.8
0,1,9.0,1.0707033562737214,2.9039457518220564,3.3
1,1,4.190454666687849,1.7606742640370345,5.0,1.5
0,2,8.474571276866197,3.1189810932719175,0.4064476298618853,4.0
0,1,5.103836256378116,4.057912597053027,3.8382511465688562,2.7
1,2,5.284703278866568,2.7322415552507513,2.983055165882678,2.2
0,2,7.882659801967068,3.6117658855768995,0.5055743124560308,3.9
0,2,5.936226559911948,3.060002647388024,3.0037707927000277,3.3
0,0,9.0,2.7837102529345006,0.6540563092392,2.9
1,0,7.5393181784555106,2.310798629101862,3.1498831924426285,1.6
0,2,6.728212772104593,4.585276291678522,0.686510936216886,3.7
0,0,6.176121898670931,3.680101107319128,4.143776994009942,2.4
0,2,9.0,0.4593672787331664,0.7620855623086186,3.9
1,2,5.149629038732619,0.03919083987489808,5.0,2.1
1,0,6.94912779623605,2.165809163640227,3.8850630401237223,1.4
1,1,9.0,0.9837383433559459,0.6256209606023544,2.5
1,0,4.328660987228236,5.0,3.6562788170489435,1.2
1,2,6.9334033955978756,2.195588978334137,1.8710076260679864,2.6
1,0,5.729250239655391,3.9466470568863397,3.3241027034582684,1.4
0,0,8.007298212021167,2.223535766932653,3.7691660210461797,2.7
0,0,8.948749886844197,3.472180853409284,1.5790692597465177,3.0
1,2,7.7327129262666645,0.7856314262491789,2.4816556474841547,2.6
0,0,6.967864795786668,1.468065120234315,5.0,2.4
0,0,9.0,1.1608543667217683,3.7845340712192757,2.8
1,2,6.798595045508629,4.162073016049787,0.03933193844158577,2.8
0,0,7.983224516139741,0.7634949814788811,5.0,2.6
0,2,5.2655700472750615,4.075053753116114,2.659376199608825,3.3
0,1,4.39826892035338,3.3893008615439446,5.0,2.6
0,2,5.311331568726627,3.1457418540257405,3.5429265772476337,3.3
0,2,6.3997902295580475,1.7797445826348024,3.820465187807152,3.4
1,0,9.0,1.1896429834100948,2.0552658749848134,1.9
0,1,5.876872196527606,1.9366839035297023,5.0,2.7
0,1,6.893364713101466,3.9899022454652857,2.116733041433248,3.2
0,2,5.819048728099791,0.8121220834785704,5.0,3.2
0,1,7.028872649125434,5.0,0.5105090035463693,3.3
0,0,5.685539107230365,4.17872369864095,4.135737194128684,2.3
1,0,7.854006738602357,2.9004907110405895,2.2455025503570525,1.6
0,2,6.873884602077358,3.0047335045461137,2.1213818933765283,3.6
0,0,8.109252002375907,0.20738178802973714,5.0,2.6
0,1,9.0,0.09061245510913173,2.1471768377811173,3.4
0,1,8.561848309032944,1.5431741762880375,2.8949775146790158,3.2
1,1,5.930581371477155,3.237733943900694,2.8316846846221506,1.9
0,1,5.690696074897362,3.592896248777338,3.7164076763253004,2.9
0,2,4.5841251575826245,3.7498575237081035,3.6660173187092724,3.2
0,0,9.0,1.6118700086776179,1.0563081665954699,2.9
0,2,4.924037819320528,1.4998065334678754,5.0,3.1
1,2,5.79783294201447,2.1714110457186657,3.030756012266866,2.3
1,0,5.618879211430234,5.0,1.9405896779447716,1.5
0,0,9.0,2.527497556796883,0.5265639769419368,3.0
0,2,9.0,1.2770491442636323,1.2725750763411419,3.9
0,1,7.266928671380375,0.22381148029044723,5.0,2.9
1,0,4.911523792202335,3.574445520223341,4.514030687574325,1.2
0,2,7.031273675155534,4.521106407595928,0.4476199172485381,3.8
1,1,6.869406347001477,3.568838947966692,1.561754705031831,2.2
0,2,5.000019884468778,0.5391701929948571,5.0,3.1
0,1,6.488998677304711,4.891649402586634,1.6193519201086535,3.1
0,2,6.064787303106481,0.051733563245451905,5.0,3.3
1,2,5.588209772958204,2.962137908466944,2.4496523185748527,2.3
0,2,8.418658001574945,1.2403135645410766,2.341028433883979,3.7
0,2,6.8881302180470465,4.939345479424817,0.17252430252813794,3.8
1,2,7.618664747301372,1.4059420494114803,1.9753932032871486,2.7
0,0,9.0,4.773595692890017,0.07442442936388116,3.1
1,2,5.288778831538909,3.2373973929529845,2.4738237755081056,2.3
1,2,6.035955442989805,1.4774068761295165,3.4866376808806776,2.3
0,2,6.2474009013258485,3.213954619468056,2.538644479206096,3.5
1,0,4.754326475514372,3.9717927263608983,4.273880798124732,1.1
1,0,7.443125429893672,2.9558226669974523,2.6010519031088766,1.6
0,0,7.44547065332443,1.3273062620296237,5.0,2.5
1,2,8.180984373991766,2.2178081269086363,0.6012074990995974,2.9
0,2,4.821690116859069,4.11314292506907,3.0651669580718606,3.3
1,2,8.77812826180013,1.002679670578999,1.2191920676208698,2.9
1,0,9.0,1.2477390102072303,0.2905661383735717,2.0
1,2,4.889046901556188,3.6220116458418303,2.488941452601982,2.3
0,1,8.587938242038065,2.4794604525853745,1.9326013053765592,3.3
1,2,7.672022394862247,1.2401581306166327,2.08781947452112,2.7
0,2,5.458399903830924,0.0964945713540758,5.0,3.2
1,2,7.121593997743346,3.085270269274923,0.7931357329817309,2.7
1,0,5.275141519653168,5.0,2.593984507958407,1.3
0,2,6.914454360703278,4.008272732103637,1.0772729071930858,3.7
1,0,5.157095092978296,3.1269242807534754,4.715980626268228,1.2
1,2,3.0,4.28799031595142,3.744226028854223,2.0
1,0,9.0,0.2422836245026206,3.4361288250146598,1.8
1,1,6.517087985758809,4.596610693487409,0.886301320753783,2.1
0,2,5.097366761587508,3.1069686806760264,3.795664557736467,3.3
0,0,5.118095872914107,3.3609665711994268,5.0,2.2
0,0,6.632154818769228,4.931634731182283,2.4362104500484874,2.5
1,2,5.620903794931327,4.472948044278088,0.9061481607905835,2.5
1,0,4.617732532229152,3.1897033142000706,5.0,1.1
1,2,9.0,1.4260233428760931,0.00801408829744133,3.0
